"","x"
"1","ZGC:174153"
"2","ZGC:174855"
"3","CTSLB"
"4","KRT4"
"5","HE1A"
"6","KRT18"
"7","ZGC:193505"
"8","KRT5"
"9","CLDNE"
"10","LYE"
"11","NANOS3"
"12","KRT8"
"13","HE1B"
"14","KRT97"
"15","KRT92"
"16","MID1IP1A"
"17","SI:DKEY-26G8.5"
"18","KRT23"
"19","DND1"
"20","SI:CH211-125O16.4"
"21","KRT17"
"22","ACTA1A"
"23","PONZR5"
"24","SI:DKEY-269I1.3"
"25","CLDND"
"26","APLNR2"
"27","CYT1"
"28","LMO2"
"29","H1M"
"30","AGR1"
"31","EPPK1"
"32","MYL10"
"33","CA15B"
"34","CABZ01073832.1"
"35","PFN1"
"36","SI:DKEY-152P16.6"
"37","ACP5A"
"38","FRZB"
"39","ENG2B"
"40","SI:DKEY-269I1.4"
"41","CALR3B"
"42","SI:DKEY-239J18.2"
"43","ETV2"
"44","SI:CH73-347E22.8"
"45","TWIST2"
"46","SOX32"
"47","CYT1L"
"48","ALOX5B.3"
"49","STARD14"
"50","ANXA1C"
"51","ICN"
"52","KRT96"
"53","ZGC:101000"
"54","PPL"
"55","TAGLN2"
"56","CEBPB"
"57","FZD8B"
"58","HSD17B12A"
"59","HSD17B14"
"60","TFA"
"61","CAPN9"
"62","DDX4"
"63","PMP22B"
"64","EVPLA"
"65","UOX"
"66","SI:DKEY-87O1.2"
"67","ZNF185"
"68","MGLL"
"69","CCNA1"
"70","CYP26B1"
"71","SI:DKEY-239J18.3"
"72","MSGN1"
"73","NQO1"
"74","GSC"
"75","CLDNG"
"76","SI:CH211-153B23.5"
"77","ZGC:113886"
"78","EMILIN3A"
"79","NANOG"
"80","SI:CH211-157C3.4"
"81","RX3"
"82","SI:CH211-217K17.9"
"83","MESPBA"
"84","RIPPLY2"
"85","GRHL3"
"86","FTR83"
"87","FSTA"
"88","PLEKHF1"
"89","MAP1LC3C"
"90","CLDNB"
"91","ELOVL7B"
"92","SI:DKEYP-67A8.4"
"93","TAL1"
"94","ZGC:113424"
"95","HAND2"
"96","INSB"
"97","ZGC:158852"
"98","NEUROD1"
"99","TDRD7A"
"100","NEXN"
"101","ATOH1B"
"102","RRBP1B"
"103","ARL13A"
"104","DBX1A"
"105","CTH1"
"106","SI:CH211-132B12.8"
"107","SPI1B"
"108","DRGX"
"109","ACTC1B"
"110","NTD5"
"111","MIXL1"
"112","GFI1AA"
"113","ANXA1B"
